Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Toyota,Raize,2022.0,27500.0,Red,998.0,Automatic,5.0,180000000.0,Petrol,3.0
Toyota,Avanza,2024.0,7500.0,Black,1496.0,Manual,7.0,207000000.0,Petrol,1.0
Lexus,Rx,2016.0,47500.0,Black,1998.0,Automatic,5.0,590000000.0,Petrol,9.0
Mitsubishi,Grandis,2006.0,142500.0,Black,2378.0,Automatic,7.0,79000000.0,Petrol,19.0
Toyota,Raize,2022.0,37500.0,Red,998.0,Automatic,5.0,200000000.0,Petrol,3.0
Daihatsu,Rocky,2024.0,12500.0,Black,1198.0,Manual,5.0,166000000.0,Petrol,1.0
Mercedes,Benz,2019.0,17500.0,Red,1332.0,Automatic,5.0,585000000.0,Petrol,6.0
Toyota,Kijang,2024.0,22500.0,White,1987.0,Automatic,8.0,499000000.0,Hybrid,1.0
Bmw,X1,2016.0,62500.0,White,1499.0,Automatic,5.0,288000000.0,Petrol,9.0
Infiniti,Fx37,2012.0,97500.0,White,3696.0,Automatic,5.0,225000000.0,Petrol,13.0
Mitsubishi,Pajero,2023.0,47500.0,Black,2442.0,Automatic,7.0,570000000.0,Diesel,2.0
Toyota,Fortuner,2019.0,62500.0,Black,2393.0,Automatic,7.0,425000000.0,Diesel,6.0
Daihatsu,Sigra,2019.0,47500.0,Silver,1197.0,Manual,7.0,103000000.0,Petrol,6.0
Mercedes,Benz,2022.0,7500.0,Yellow,1332.0,Automatic,5.0,720000000.0,Petrol,3.0
Mitsubishi,Xpander,2019.0,47500.0,Black,1499.0,Automatic,7.0,171000000.0,Petrol,6.0
Ford,Everest,2015.0,97500.0,Red,2198.0,Automatic,7.0,345000000.0,Diesel,10.0
Honda,Br,2022.0,52500.0,Grey,1498.0,Automatic,7.0,247000000.0,Petrol,3.0
Mazda,Cx,2023.0,12500.0,Red,2488.0,Automatic,7.0,659000000.0,Petrol,2.0
Bmw,520I,2004.0,52500.0,Black,2171.0,Automatic,5.0,178000000.0,Petrol,21.0
Bmw,535I,2011.0,57500.0,White,2979.0,Automatic,5.0,425000000.0,Petrol,14.0
Honda,Cr,2018.0,52500.0,Black,1498.0,Automatic,5.0,309000000.0,Petrol,7.0
