URL,Merk,Model,Harga,Tahun Produksi,Jarak Tempuh,Warna,ABS/EBD,Aspiration,Assembled,Auto parking,Aux,Bluetooth,Boot Space (litres),CD,CO2 Emission,Cruise control,Curtain Airbags,Direct Injection,Doors,Engine CC,Engine start,Front Airbags,Front Brakes,Front Rim (inches),Front Suspension,Front Thread,Front Tyre,Fuel Consumption (L/100km),Fuel Tank (litres),Fuel Type,Gear Type,Height (mm),Immobilizer,Kerb Weight (kg),Length (mm),Number of Gears,Other,Parking sensor,Peak Power (hp),Peak Torque (Nm),Radio,Rear Brakes,Rear Rim (inches),Rear Suspension,Rear Thread,Rear Tyre,Seat Capacity,Seat belts,Side Airbags,Stability control,Steering Turn,Steering Type,Top Speed (km/h),Transmission,USB,Wheel Base (mm),Width (mm),Error
https://www.carmudi.co.id/en/for-sale/nissan-serena-highway-star-dki-jakarta-slipi/18022199,Nissan,Serena Highway Star,140000000,2013,77500,Silver,ABS,Naturally Aspirated,,,,Bluetooth,,CD Player,,Cruise Control,Airbags - Head for 1st Row,Electronic Fuel Injection (EFI),5,1997,Starter Button,,Ventilated Discs,16,Independent MacPherson Strut with Stabilizer,1480,195/60 R16,,60,Petrol,CVT,1865,Engine Immobiliser,1580,4770,,Audio - Controls on Steering Column,Park Distance Control - Rear,147,206,Radio - Analogue,Discs,16,Torsion beam with stabilizer,1465,195/60 R16,7,Seatbelt - Pretensioners 1st Row (Front),,Electronic Stability Control,5.7,Rack and Pinion,,Automatic,Audio - Aux Input USB Socket,2860,1735,
https://www.carmudi.co.id/en/for-sale/toyota-corolla-cross-hybrid-dki-jakarta-kembangan/18022077,Toyota,Corolla Cross Hybrid,325000000,2022,52500,Black,ABS,Naturally Aspirated,Locally Built,,,,,,,,,Electronic Fuel Injection (EFI),5,1798,,Airbag - Passenger,Ventilated Discs,18,McPherson Strut,,225/50 R18,,36,Hybrid,CVT,1620,,1385,4460,,,,98,142,,Discs,18,Torsion Beam,,225/50 R18,5,,,Electronic Stability Control,,Electric Power Steering (EPS),,Automatic,,2640,1825,
https://www.carmudi.co.id/en/for-sale/toyota-corolla-altis-v-dki-jakarta-jagakarsa/18022076,Toyota,Corolla Altis V,218000000,2019,87500,Black,,Naturally Aspirated,,,,,,,,,,Electronic Fuel Injection (EFI),4,1798,,,Ventilated Discs,17,MacPherson Strut,1531,225/45 R17,,50,Petrol,7-Speed CVT,1435,,,4630,,,,140,172,,Discs,17,Double Wishbone,1544,225/45 R17,5,,,,,,,Automatic,,2700,1780,
https://www.carmudi.co.id/en/for-sale/toyota-fortuner-vrz-trd-4x2-dki-jakarta-kebayoran-lama/18022080,Toyota,Fortuner Vrz Trd 4X2,420000000,2020,82500,Black,ABS,Turbocharged,,,,Bluetooth,,CD Player,,Cruise Control,,Fuel injection,5,2393,Starter Button,,Ventilated Discs,18,Double Wishbone with Coil Spring & Stabilizer,1545,265/60,,80,Diesel,6-Speed Automatic,1835,,,4795,,,,150,400,Radio - Analogue,Ventilated Discs,18,4-Link with Lateral Rod,1550,265/60,7,,Airbags - Side for 1st Row,,,,,Automatic,,2745,1855,
https://www.carmudi.co.id/en/for-sale/nissan-juke-rx-dki-jakarta-pasar-rebo/18022084,Nissan,Juke Rx,120000000,2015,157500,Black,ABS,Naturally Aspirated,,,Audio - Aux Input Socket (MP3/CD/Cassette),Bluetooth,251,CD Player,,Cruise Control,,Fuel injection,4,1498,Starter Button,Airbag - Passenger,Ventilated Discs,17,MacPherson Strut,1525,215/55 R17,,52,Petrol,CVT,1565,Engine Immobiliser,1220,4135,,Audio - Controls on Steering Column,Park Distance Control - Rear,114,150,Radio - Analogue,Ventilated Discs,17,Multi-Link,1525,215/55 R17,5,Seatbelt - Pretensioners 1st Row (Front),,Electronic Stability Control,5.3,Rack and Pinion,,Automatic,Audio - Aux Input USB Socket,2530,1765,
https://www.carmudi.co.id/en/for-sale/mitsubishi-colt-l300-pick-up-standard-dki-jakarta-kebayoran-lama/18021930,Mitsubishi,Colt L300 Pick Up Standard,220000000,2022,47500,Black,,Naturally Aspirated,,,,,,,,,,,2,2477,,,Ventilated Discs,,"Double Wishbone, Coil Spring",,,,47,Diesel,"5 speed, manual transmission, floorshift",1845,,1165,4170,5,,,,133,,Drums,,Semi Eliptic Leaf Spring,,,3,,,,8.8,Recirculating Ball type with Power Steering,,Manual,,2200,1700,
https://www.carmudi.co.id/en/for-sale/toyota-rush-trd-sportivo-dki-jakarta-tanjung-priok/18021932,Toyota,Rush Trd Sportivo,200000000,2020,67500,White,,Naturally Aspirated,,,,Bluetooth,,CD Player,,,,Electronic Fuel Injection (EFI),5,1495,,,Discs,R 17,Mac Phearson strut with coil spring and stabiliser,1450,215/60 R 17,,,Petrol,4-speed Automatic,1705,,,4435,4,,,104,136,Radio - Analogue,Drums,R 17,5 link lateral rod with coil spring and stabiliser,1460,215/60 R 17,7,,,,,electric power steering,,Automatic,Audio - Aux Input USB Socket,2685,1695,
https://www.carmudi.co.id/en/for-sale/nissan-navara-dki-jakarta-jagakarsa/18021929,Nissan,Navara,215000000,2011,122500,Black,ABS,Turbocharged,,,,,,CD Player,,,,Indirect FI,4,2488,,Airbag - Passenger,Ventilated Discs,16,Double wishbones coil spring & stabilizer,,255/70 R16,,80,Diesel,6-Speed Manual,1780,,1850,5230,6,,,172,402,,Drums,16,Leaf spring with shock absorber,,255/70 R16,5,,,,13.4,Rack and pinion with EPS,,Manual,,3200,1850,
https://www.carmudi.co.id/en/for-sale/honda-cr-v-dki-jakarta-kelapa-gading/18021931,Honda,Cr V,75000000,2004,137500,Silver,ABS,Naturally Aspirated,,,Audio - Aux Input Socket (MP3/CD/Cassette),Bluetooth,,CD Player,,,,,5,1997,,,,15 x 6JJ,Toe control link Strut,1535,205/70 R15,,50,Petrol,4-speed Automatic,1710,,,4535,4,,Park Distance Control - Rear,150,190,Radio - Analogue,,15 x 6JJ,Double Wishbone,1540,205/70 R15,5,,,Electronic Stability Control,5.2,Rack & pinion,,Manual,Audio - Aux Input USB Socket,2620,1780,
https://www.carmudi.co.id/en/for-sale/toyota-vellfire-z-audioless-dki-jakarta-pasar-rebo/18021933,Toyota,Vellfire Z Audioless,250000000,2012,82500,Black,ABS,Naturally Aspirated,,,Audio - Aux Input Socket (MP3/CD/Cassette),Bluetooth,,CD Player,,Cruise Control,Airbags - Head for 1st Row,Multi-Point Fuel Injection,5,2362,Starter Button,,Ventilated Discs,17,"Independen,musim semi",1580,215/60/R17,,65,Petrol,CVT,1890,Engine Immobiliser,,4850,,,Park Distance Control - Rear,170,224,Radio - Analogue,Discs,17,"Semi-independen,torsion bar",1585,215/60/R17,7,Seatbelt - Pretensioners 1st Row (Front),,Electronic Stability Control,,Rack and Pinion,,Automatic,Audio - Aux Input USB Socket,2950,1830,
